IDs         length   Exptl.  resolution  R-factor FreeRvalue
4ZHWA       168      XRAY        1.390    0.18    0.19
4WY4C        78      XRAY        1.400    0.14    0.18
5T8CA       301      XRAY        1.480    0.16    0.19
2NSZA       129      XRAY        1.150    0.13    0.15
5NB4M       184      XRAY        1.140    0.15    0.18
2A26A        50      XRAY        1.200    0.17    0.20
1QWOA       442      XRAY        1.500    0.16    0.19
1VLYA       338      XRAY        1.300    0.14    0.17
1GQIA       708      XRAY        1.480    0.13    0.17
4GS3A       107      XRAY        1.090    0.15    1.00
1MY7A       114      XRAY        1.490    0.25    0.25
5C33A       198      XRAY        1.210    0.14    0.17
4WFOA       858      XRAY        1.140    0.11    0.13
2YNAA       306      XRAY        1.500    0.16    0.17
2Z0JA       237      XRAY        1.500    0.19    0.21
6ELMA        98      XRAY        1.140    0.14    0.17
4RGDA        70      XRAY        1.200    0.12    0.15
1VYRA       364      XRAY        0.900    0.12    0.14
4XINA       126      XRAY        1.500    0.16    0.20
5D7UA        58      XRAY        1.500    0.16    0.21
5CTVA       188      XRAY        1.050    0.14    0.15
4B9GA       161      XRAY        1.040    0.16    0.17
3AGNA       114      XRAY        0.960    0.12    0.13
1NKIA       135      XRAY        0.950    0.15    0.18
1M9ZA       111      XRAY        1.050    0.16    0.17
4ZA9A       508      XRAY        1.010    0.13    0.14
5CWGA       210      XRAY        1.200    0.14    0.17
2OIZD       135      XRAY        1.050    0.12    0.14
2VY8A       157      XRAY        1.200    0.19    0.21
4PSRA       585      XRAY        1.380    0.14    0.17
4M1XA        99      XRAY        1.300    0.12    0.14
1G2RA       100      XRAY        1.350    0.16    0.18
1V6PA        62      XRAY        0.870    0.12    0.15
3M6ZA       380      XRAY        1.400    0.17    0.18
3D2QA        70      XRAY        1.500    0.20    0.22
1XAWA       140      XRAY        1.450    0.28    0.28
4D7CA       285      XRAY        1.450    0.17    0.21
2W7AA       100      XRAY        1.400    0.14    0.18
4Q4W1       305      XRAY        1.400    0.15    1.00
1C1KA       217      XRAY        1.450    0.20    0.25
4WWFA       118      XRAY        1.100    0.12    0.14
3GMXA       154      XRAY        1.050    0.13    0.15
1YD0A        96      XRAY        1.500    0.17    0.18
5C5GA       254      XRAY        1.250    0.15    0.17
6EQSA       275      XRAY        1.320    0.16    0.21
1IQZA        81      XRAY        0.920    0.10    0.11
5INBB        46      XRAY        1.300    0.13    0.15
4TTWA       161      XRAY        1.200    0.16    0.19
5CVWA       153      XRAY        1.250    0.14    0.17
2X5YA       173      XRAY        1.050    0.13    0.15
2FULA       177      XRAY        1.500    0.18    0.20
4QP5A       140      XRAY        1.260    0.13    0.17
4I6YA       428      XRAY        1.450    0.17    0.19
4XDXA        70      XRAY        0.950    0.12    0.14
2PHNA       254      XRAY        1.350    0.16    0.19
2WURA       238      XRAY        0.900    0.15    0.17
5OHQA       111      XRAY        1.100    0.12    0.14
4DO4A       400      XRAY        1.400    0.14    0.18
6B6UA       525      XRAY        1.350    0.13    0.15
3M73A       314      XRAY        1.150    0.14    0.15
3LAGA        98      XRAY        1.150    0.19    0.22
2P0NA       172      XRAY        1.410    0.17    0.20
5II6A       112      XRAY        0.950    0.13    0.14
5HHEA        93      XRAY        1.460    0.17    0.21
3VVVA       123      XRAY        1.350    0.16    0.19
3GNZP       213      XRAY        1.350    0.16    0.18
4YTDA       101      XRAY        1.500    0.18    0.21
4U98A       454      XRAY        1.150    0.15    0.16
4L2IB       263      XRAY        1.450    0.15    0.21
4BJIA       215      XRAY        1.450    0.15    0.17
3DK9A       478      XRAY        0.950    0.12    0.15
4CV7A       113      XRAY        1.400    0.17    0.20
5HEEA       262      XRAY        1.410    0.16    0.19
4IPUA       137      XRAY        1.350    0.18    0.20
4PH2A       134      XRAY        1.440    0.16    0.19
4YL8B        43      XRAY        1.500    0.16    0.19
3L8WA       296      XRAY        1.000    0.14    0.14
1UOYA        64      XRAY        1.500    0.16    0.18
4ZC3A        68      XRAY        1.400    0.20    0.21
2OLMA       140      XRAY        1.480    0.18    0.20
2H1VA       310      XRAY        1.200    0.13    0.17
3WZ3A       144      XRAY        1.500    0.18    0.21
1SVFA        64      XRAY        1.400    0.18    0.20
1UKFA       188      XRAY        1.350    0.20    0.22
2R5OA       188      XRAY        1.300    0.17    0.18
4WKAA       377      XRAY        0.950    0.11    0.12
5XBCA       118      XRAY        1.250    0.17    0.19
1ZZKA        82      XRAY        0.950    0.12    0.13
3QL9A       129      XRAY        0.930    0.12    0.13
2CWSA       237      XRAY        1.000    0.10    0.13
4WPYA        94      XRAY        1.500    0.23    0.25
3LK7A       451      XRAY        1.500    0.19    0.21
4KQPA       232      XRAY        0.950    0.12    0.12
4EP4A       166      XRAY        1.280    0.15    0.19
3DA8A       215      XRAY        1.300    0.17    0.19
2Z72A       342      XRAY        1.100    0.12    0.16
4F87A        72      XRAY        1.400    0.19    0.20
1G6UA        48      XRAY        1.480    0.20    0.24
1P3HA        99      XRAY        0.000    0.26    0.28
1N62C       288      XRAY        1.090    0.14    0.17
4QBOA        92      XRAY        1.300    0.17    0.18
2YIMA       360      XRAY        1.410    0.19    0.20
4DMIA       176      XRAY        1.500    0.16    0.18
3W19C        40      XRAY        1.280    0.16    0.17
3SHGB        61      XRAY        1.500    0.18    0.21
2CG7A        90      XRAY        1.200    0.19    0.22
5BMNA       468      XRAY        1.270    0.17    0.19
3ZXCA        77      XRAY        1.400    0.16    0.19
3O12A       221      XRAY        1.500    0.17    0.18
3F0DA       183      XRAY        1.200    0.19    0.21
4FIOA       354      XRAY        1.370    0.13    0.17
2CB8A        87      XRAY        1.400    0.17    0.19
4I66A       209      XRAY        1.300    0.16    0.20
5B08A       104      XRAY        1.320    0.20    0.21
1KOEA       172      XRAY        1.500    0.19    0.22
3X2MA       180      XRAY        0.640    0.12    0.13
3A02A        60      XRAY        1.000    0.17    0.18
5M97A        77      XRAY        1.330    0.20    0.21
3O3YA        40      XRAY        1.350    0.14    0.17
3MWXA       326      XRAY        1.450    0.15    0.17
1UCDA       190      XRAY        1.300    0.20    0.20
4INWA       140      XRAY        1.140    0.16    0.18
3BUXB       329      XRAY        1.350    0.23    0.24
3RWNA       161      XRAY        1.000    0.13    0.14
5SV2A       146      XRAY        1.310    0.14    0.16
3ACXA       293      XRAY        1.310    0.16    0.18
5GNFA       140      XRAY        1.500    0.17    0.19
1HYOA       421      XRAY        1.300    0.18    0.20
1GYXA        76      XRAY        1.350    0.14    0.16
1ZGXA        63      XRAY        1.130    0.13    0.16
3EWYA       260      XRAY        1.100    0.13    0.15
2J6BA       109      XRAY        1.300    0.16    0.19
3LWXA       199      XRAY        1.100    0.12    0.14
4CFIA       258      XRAY        1.300    0.14    0.17
2IAYA       114      XRAY        1.200    0.12    0.15
2FVYA       309      XRAY        0.920    0.11    0.13
3O4PA       314      XRAY        0.850    0.10    0.12
5M17A       385      XRAY        1.030    0.12    0.13
1Z70X       311      XRAY        1.150    0.14    0.17
3CI3A       194      XRAY        1.110    0.16    0.18
4HGUA        40      XRAY        0.980    0.11    0.12
5EWYA       200      XRAY        1.400    0.15    0.17
4NDOA       276      XRAY        1.350    0.16    0.18
4UZ1A       383      XRAY        1.400    0.14    0.18
2FB6A       117      XRAY        1.460    0.13    0.16
5XJ5A       201      XRAY        1.480    0.19    0.21
5MAWE       133      XRAY        1.500    0.17    0.19
5K91A       188      XRAY        1.180    0.19    0.22
5LUSA        68      XRAY        1.430    0.16    0.17
1US0A       316      XRAY        0.660    0.09    0.10
3A2ZA       197      XRAY        1.500    0.18    0.20
2CYJA       118      XRAY        1.500    0.18    0.20
2XU3A       220      XRAY        0.900    0.14    0.15
4EIVA       297      XRAY        1.370    0.15    0.18
4EADA       440      XRAY        1.500    0.15    0.19
3HM4A       156      XRAY        1.300    0.14    0.17
4HE6A        89      XRAY        1.100    0.12    0.16
3WURA       171      XRAY        1.450    0.17    0.20
2HP0A       466      XRAY        1.500    0.15    0.17
4H7WA       193      XRAY        1.100    0.13    0.15
2QSWA       100      XRAY        1.500    0.15    0.18
3E8TA       220      XRAY        1.300    0.14    0.18
3CJSB        72      XRAY        1.370    0.18    0.21
1NLQA       108      XRAY        1.500    0.24    0.25
1I2TA        61      XRAY        1.040    0.15    0.17
1MKKA        96      XRAY        1.320    0.17    0.20
3VGIA       319      XRAY        1.070    0.13    0.16
5L87A        69      XRAY        0.870    0.13    0.14
4M9VC        64      XRAY        0.970    0.13    0.14
4CHIA       332      XRAY        1.270    0.10    0.13
2EW0A       192      XRAY        1.400    0.20    0.22
1Z21A       112      XRAY        1.500    0.27    0.24
5HUBA        90      XRAY        1.060    0.17    0.22
4IAUA       163      XRAY        0.990    0.11    0.13
4UA6A       263      XRAY        0.790    0.11    0.12
1C5EA        95      XRAY        1.100    0.10    0.13
4Z9HA       196      XRAY        1.450    0.17    0.20
3RQ9A        85      XRAY        1.000    0.15    0.18
5A10A       356      XRAY        1.420    0.16    0.18
2FMAA        59      XRAY        0.850    0.13    0.15
4RFUA       125      XRAY        1.200    0.17    0.18
4ZEYA        84      XRAY        1.500    0.21    0.25
4UDXX       636      XRAY        1.030    0.13    0.16
3LT7A        64      XRAY        1.500    0.23    0.27
5EP6B        58      XRAY        1.450    0.19    0.22
3D06A       200      XRAY        1.200    0.18    0.20
2C2UA       207      XRAY        1.100    0.13    0.15
1OK0A        74      XRAY        0.930    0.10    0.13
3QR7A       115      XRAY        0.940    0.10    0.11
2V4XA       140      XRAY        1.500    0.15    0.18
3IX3A       173      XRAY        1.400    0.17    0.21
2X49A       333      XRAY        1.500    0.19    0.23
2R16A       182      XRAY        1.040    0.15    0.17
4GT9A       232      XRAY        1.390    0.15    0.16
4RVQA       139      XRAY        1.140    0.12    0.15
2YKZA       127      XRAY        0.840    0.11    0.12
1VR7A       142      XRAY        1.200    0.12    0.15
1OF8A       370      XRAY        1.500    0.13    0.17
3WQBB       148      XRAY        1.410    0.19    0.21
4X84A       231      XRAY        1.250    0.14    0.16
5DZEA       207      XRAY        0.970    0.12    0.14
5OL4B       122      XRAY        1.280    0.12    0.14
3TM8A       328      XRAY        1.280    0.17    0.20
2HIYA       183      XRAY        1.400    0.16    0.19
5GV8A       272      XRAY        0.780    0.12    0.14
4JHTA       206      XRAY        1.180    0.16    0.17
4L9PB       519      XRAY        1.450    0.13    0.15
4CGSA       173      XRAY        1.300    0.17    0.22
2XZ2A        66      XRAY        1.400    0.20    0.24
1ZL0A       311      XRAY        1.100    0.10    0.12
4AYOA       447      XRAY        0.850    0.10    0.10
5NW3A        54      XRAY        0.590    0.14    0.15
3O8MA       485      XRAY        1.420    0.19    0.22
1MC2A       122      XRAY        0.850    0.10    0.12
4ZBOA       265      XRAY        1.400    0.15    0.17
4G6CA       348      XRAY        1.380    0.16    0.19
1G3PA       217      XRAY        1.460    0.19    0.23
5COZA       358      XRAY        1.450    0.16    0.18
3NJNA       119      XRAY        1.250    0.14    0.16
5NAKA       461      XRAY        1.500    0.19    0.21
1BGFA       124      XRAY        1.450    0.19    0.22
1FR3A        67      XRAY        1.500    0.18    0.20
1L9LA        74      XRAY        0.920    0.14    0.19
4CO8A       135      XRAY        1.050    0.12    0.13
5UWAA       203      XRAY        1.500    0.14    0.17
3CT5A       159      XRAY        1.370    0.20    0.23
1X6IA        91      XRAY        1.200    0.17    0.21
2D5MA       190      XRAY        1.050    0.14    0.16
4NN2A       129      XRAY        1.470    0.16    0.18
3JU4A       670      XRAY        0.980    0.12    0.13
3GOEA        82      XRAY        0.970    0.14    0.17
5MFOA       202      XRAY        1.300    0.16    0.18
4YSIA       143      XRAY        1.020    0.15    0.16
5J1SB       239      XRAY        1.400    0.14    0.19
2QNGA       199      XRAY        1.400    0.17    0.19
2R31A       239      XRAY        1.000    0.12    0.14
3P4HA       118      XRAY        1.100    0.14    0.17
3N01A        89      XRAY        1.300    0.17    0.21
4XEZA       200      XRAY        1.250    0.12    0.16
5X9LA       207      XRAY        0.900    0.12    0.13
4X9RA       237      XRAY        1.400    0.15    0.18
4RP3A        98      XRAY        1.360    0.15    0.21
5EPWA       130      XRAY        1.500    0.17    0.20
1SAUA       115      XRAY        1.120    0.11    0.14
5LQ6A       219      XRAY        1.480    0.17    0.20
3MMHA       167      XRAY        1.250    0.12    0.16
5B1AI        73      XRAY        1.500    0.15    0.17
5TQIA       294      XRAY        1.500    0.14    0.18
5G51A       157      XRAY        1.450    0.19    0.21
4ZBDA       222      XRAY        1.120    0.12    0.14
4J8CA        46      XRAY        1.100    0.14    0.16
3D3BJ        87      XRAY        1.300    0.17    0.20
3B64A       112      XRAY        1.030    0.14    0.16
5CGQB       397      XRAY        1.180    0.14    0.16
4XUWA        92      XRAY        1.100    0.14    0.18
3KM5A       180      XRAY        1.400    0.18    0.21
3VORA       182      XRAY        0.900    0.12    0.13
4M5EA       410      XRAY        1.490    0.18    0.20
1E7LA       157      XRAY        1.320    0.14    0.19
2BBRA       195      XRAY        1.200    0.21    0.23
5IHWA       314      XRAY        1.250    0.14    0.18
3NBMA       108      XRAY        1.300    0.13    0.17
5EMXA        72      XRAY        1.400    0.14    0.18
4L0NA        51      XRAY        1.400    0.16    0.21
2QCPX        80      XRAY        1.000    0.16    0.19
4JGLA       169      XRAY        1.250    0.14    0.15
3OV5A        85      XRAY        1.040    0.13    0.15
2VLAA       285      XRAY        1.300    0.14    0.17
4X1ZA       332      XRAY        1.360    0.11    0.13
5J4LA       231      XRAY        1.130    0.12    0.14
1U0KA       288      XRAY        1.500    0.17    0.19
3HZPA       131      XRAY        1.400    0.17    0.18
4BEUA       392      XRAY        1.150    0.16    0.17
1JETA       517      XRAY        1.200    0.23    0.26
5D5YA        50      XRAY        1.030    0.17    0.20
4AZ6A       435      XRAY        1.360    0.12    0.14
5EQ0A        55      XRAY        1.180    0.16    0.19
3WARA       340      XRAY        1.040    0.14    0.17
3M8JA       111      XRAY        1.400    0.20    0.22
1MUNA       225      XRAY        1.200    0.12    0.17
5O75A        78      XRAY        1.480    0.20    0.22
4BPFA        86      XRAY        1.010    0.13    0.16
3G91A       265      XRAY        1.230    0.12    0.17
1MXRA       375      XRAY        1.420    0.16    0.18
2JLIA       123      XRAY        1.130    0.16    0.17
1PP0A       199      XRAY        1.420    0.23    0.26
5A8CA       326      XRAY        0.970    0.10    0.12
3D32A       119      XRAY        1.300    0.18    0.20
5TW9A        63      XRAY        1.500    0.17    0.20
6B9XE       173      XRAY        1.420    0.21    0.24
5NT7A       107      XRAY        1.400    0.17    0.20
4UFQA       217      XRAY        1.450    0.15    0.17
3LM3A       449      XRAY        1.440    0.14    0.16
5LP9A       162      XRAY        0.890    0.11    0.13
5B1RA       127      XRAY        1.200    0.13    0.15
4R1JA       197      XRAY        1.400    0.18    0.20
4PUXA       160      XRAY        1.430    0.12    0.15
1FSGA       233      XRAY        1.050    0.12    0.15
2OHWA       133      XRAY        1.400    0.20    0.23
2FKKA       206      XRAY        1.200    0.12    0.14
3WDNA       125      XRAY        0.860    0.11    0.14
1MN8A       100      XRAY        1.000    0.13    0.17
2J73A       103      XRAY        1.400    0.15    0.21
1UCRA        78      XRAY        1.200    0.14    0.18
2JEKA       145      XRAY        1.380    0.17    0.20
2V9VA       135      XRAY        1.100    0.12    0.14
4DQ6A       391      XRAY        1.500    0.15    0.19
2RHFA        77      XRAY        1.100    0.18    0.19
4RAXA       252      XRAY        1.450    0.15    0.18
4A56A        93      XRAY        1.240    0.17    0.19
3LHIA       232      XRAY        1.330    0.13    0.16
5M33A       101      XRAY        1.280    0.14    0.17
1W6SB        74      XRAY        1.200    0.15    0.18
4V4M0       196      XRAY        1.450    0.18    0.21
5TOQA       414      XRAY        1.200    0.16    0.17
1LMIA       131      XRAY        1.500    0.20    0.25
3WCQA        97      XRAY        0.970    0.15    0.17
2QSBA        89      XRAY        1.300    0.15    0.18
5JEEA       231      XRAY        1.490    0.20    0.22
4Q98A       369      XRAY        1.300    0.12    0.16
3UXJA       290      XRAY        1.400    0.13    0.17
4W7LA       449      XRAY        1.050    0.13    0.15
4GUCA       120      XRAY        1.400    0.15    0.19
1IS9A       363      XRAY        1.030    0.13    0.15
4QA8A       229      XRAY        1.100    0.17    0.19
3GXHA       157      XRAY        1.400    0.16    0.18
5D66A       198      XRAY        1.000    0.14    0.17
1N8VA       112      XRAY        1.390    0.18    0.20
3P3CA       274      XRAY        1.250    0.15    0.16
2P14A       192      XRAY        1.500    0.18    0.21
